學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1028,臺北醫學大學,N 職,M 碩士,314,87,227,48,76,25,70,5,44,9,37,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1029,中山醫學大學,D 日,D 博士,178,109,69,24,8,22,15,24,14,12,11,10,7,8,9,9,5,-,-,19 臺中市,1 一般
1029,中山醫學大學,D 日,M 碩士,532,175,357,67,150,72,127,25,57,11,23,-,-,-,-,-,-,-,-,19 臺中市,1 一般
1029,中山醫學大學,D 日,B 學士,"6,055","2,158","3,897",503,950,439,881,474,930,429,853,105,100,124,84,-,-,84,99,19 臺中市,1 一般
1029,中山醫學大學,N 職,M 碩士,165,29,136,10,64,11,44,5,13,2,4,1,11,-,-,-,-,-,-,19 臺中市,1 一般
1029,中山醫學大學,N 修,C 二技,122,39,83,-,-,-,-,12,28,13,25,11,29,-,-,-,-,3,1,19 臺中市,2 技職
1030,龍華科技大學,D 日,M 碩士,322,219,103,89,39,76,44,33,13,21,7,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1030,龍華科技大學,D 日,B 四技,"7,618","5,121","2,497","1,301",529,"1,226",621,"1,078",564,"1,164",661,-,-,-,-,-,-,352,122,03 桃園市,2 技職
1030,龍華科技大學,D 日,C 二技,40,25,15,-,-,-,-,3,2,1,2,21,11,-,-,-,-,-,-,03 桃園市,2 技職
1030,龍華科技大學,D 日,5 五專,679,604,75,179,20,154,19,140,17,112,15,18,4,-,-,-,-,1,-,03 桃園市,2 技職
1030,龍華科技大學,N 職,M 碩士,111,89,22,45,8,24,12,12,2,8,-,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1030,龍華科技大學,N 修,B 四技,"3,234","2,512",722,763,246,554,130,506,157,505,150,-,-,-,-,-,-,184,39,03 桃園市,2 技職
1031,輔英科技大學,D 日,M 碩士,170,42,128,17,42,16,50,7,20,2,14,-,2,-,-,-,-,-,-,12 高雄市,2 技職
1031,輔英科技大學,D 日,B 四技,"3,703","1,465","2,238",343,518,369,542,344,553,300,534,-,-,-,-,-,-,109,91,12 高雄市,2 技職
1031,輔英科技大學,D 日,C 二技,"1,544",178,"1,366",-,-,-,-,74,662,98,679,-,-,-,-,-,-,6,25,12 高雄市,2 技職
1031,輔英科技大學,D 日,5 五專,"2,682",308,"2,374",64,428,56,530,69,472,61,463,48,446,-,-,-,-,10,35,12 高雄市,2 技職
1031,輔英科技大學,N 職,M 碩士,95,3,92,-,21,1,24,-,19,2,22,-,6,-,-,-,-,-,-,12 高雄市,2 技職
1031,輔英科技大學,N 修,B 四技,546,413,133,139,70,53,13,88,20,101,27,-,-,-,-,-,-,32,3,12 高雄市,2 技職
1031,輔英科技大學,N 修,C 二技,988,200,788,-,-,-,-,81,342,76,331,22,22,-,-,-,-,21,93,12 高雄市,2 技職
1032,明新科技大學,D 日,M 碩士,269,158,111,55,64,61,28,23,9,19,10,-,-,-,-,-,-,-,-,04 新竹縣,2 技職
1032,明新科技大學,D 日,B 四技,"7,072","4,263","2,809",840,545,795,581,"1,031",709,"1,293",859,-,-,-,-,-,-,304,115,04 新竹縣,2 技職
1032,明新科技大學,D 日,C 二技,60,33,27,-,-,-,-,23,16,10,11,-,-,-,-,-,-,-,-,04 新竹縣,2 技職
1032,明新科技大學,D 日,2 二專,21,21,-,5,-,13,-,-,-,-,-,-,-,-,-,-,-,3,-,04 新竹縣,2 技職
1032,明新科技大學,N 職,M 碩士,280,195,85,86,56,54,13,25,8,14,5,10,3,6,-,-,-,-,-,04 新竹縣,2 技職
1032,明新科技大學,N 修,B 四技,"2,798","1,768","1,030",417,227,390,229,382,243,417,259,-,-,-,-,-,-,162,72,04 新竹縣,2 技職
1032,明新科技大學,N 修,C 二技,654,339,315,-,-,-,-,185,138,147,170,-,-,-,-,-,-,7,7,04 新竹縣,2 技職
1032,明新科技大學,N 修,2 二專,223,138,85,62,45,67,35,-,-,-,-,-,-,-,-,-,-,9,5,04 新竹縣,2 技職
1033,長榮大學,D 日,D 博士,48,35,13,8,4,9,4,7,2,3,3,4,-,3,-,1,-,-,-,11 臺南市,1 一般
1033,長榮大學,D 日,M 碩士,268,96,172,43,54,28,43,11,35,12,24,2,16,-,-,-,-,-,-,11 臺南市,1 一般
1033,長榮大學,D 日,B 學士,"7,106","3,203","3,903",760,791,835,901,743,990,699,"1,115",-,-,-,-,-,-,166,106,11 臺南市,1 一般
1033,長榮大學,N 職,M 碩士,115,79,36,36,15,31,11,8,4,2,3,1,3,1,-,-,-,-,-,11 臺南市,1 一般
1033,長榮大學,P 進,B 學士,312,217,95,66,24,38,21,55,22,43,23,-,-,-,-,-,-,15,5,11 臺南市,1 一般
1034,弘光科技大學,D 日,D 博士,13,2,11,1,4,1,2,-,3,-,-,-,1,-,1,-,-,-,-,06 臺中市,2 技職
1034,弘光科技大學,D 日,M 碩士,197,58,139,24,52,26,49,3,21,5,17,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1034,弘光科技大學,D 日,B 四技,"7,224","2,614","4,610",598,"1,140",634,"1,125",643,"1,143",589,"1,055",-,-,-,-,-,-,150,147,06 臺中市,2 技職
1034,弘光科技大學,D 日,C 二技,726,53,673,-,-,-,-,30,339,21,332,-,-,-,-,-,-,2,2,06 臺中市,2 技職
1034,弘光科技大學,D 日,5 五專,260,32,228,5,47,5,47,9,42,9,44,3,46,-,-,-,-,1,2,06 臺中市,2 技職
1034,弘光科技大學,N 職,M 碩士,107,24,83,12,28,8,24,1,14,1,9,1,5,1,3,-,-,-,-,06 臺中市,2 技職
1034,弘光科技大學,N 修,B 四技,"3,170","1,490","1,680",406,423,361,386,336,384,297,397,6,12,-,-,-,-,84,78,06 臺中市,2 技職
1034,弘光科技大學,N 修,C 二技,836,80,756,-,-,-,-,36,267,31,291,10,192,-,-,-,-,3,6,06 臺中市,2 技職
1034,弘光科技大學,N 修,2 二專,133,20,113,14,58,3,44,-,-,-,-,-,-,-,-,-,-,3,11,06 臺中市,2 技職
1035,中國醫藥大學,D 日,D 博士,407,242,165,61,41,52,32,40,31,32,20,24,15,20,16,13,10,-,-,19 臺中市,1 一般
1035,中國醫藥大學,D 日,M 碩士,496,184,312,91,161,69,114,17,25,7,12,-,-,-,-,-,-,-,-,19 臺中市,1 一般
1035,中國醫藥大學,D 日,B 學士,"6,254","2,647","3,607",534,791,512,789,487,746,509,721,310,300,180,134,62,60,53,66,19 臺中市,1 一般
1035,中國醫藥大學,N 職,M 碩士,86,17,69,5,27,7,28,4,12,1,1,-,1,-,-,-,-,-,-,19 臺中市,1 一般
1036,健行科技大學,D 日,M 碩士,290,186,104,77,54,53,28,37,11,14,9,4,2,-,-,1,-,-,-,03 桃園市,2 技職
1036,健行科技大學,D 日,B 四技,"6,565","4,447","2,118",982,491,896,475,"1,047",477,"1,202",565,-,-,-,-,-,-,320,110,03 桃園市,2 技職
1036,健行科技大學,D 日,C 二技,45,29,16,-,-,-,-,5,4,12,6,-,-,-,-,-,-,12,6,03 桃園市,2 技職
1036,健行科技大學,N 職,M 碩士,33,21,12,6,4,6,5,4,-,3,2,1,-,1,1,-,-,-,-,03 桃園市,2 技職
1036,健行科技大學,N 修,B 四技,"3,870","2,417","1,453",578,396,578,332,549,365,514,294,-,-,-,-,-,-,198,66,03 桃園市,2 技職
1036,健行科技大學,N 修,C 二技,364,177,187,-,-,-,-,103,92,71,94,-,-,-,-,-,-,3,1,03 桃園市,2 技職
1037,正修科技大學,D 日,D 博士,14,14,-,4,-,2,-,3,-,3,-,1,-,-,-,1,-,-,-,12 高雄市,2 技職
1037,正修科技大學,D 日,M 碩士,327,189,138,92,67,75,46,18,19,4,6,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1037,正修科技大學,D 日,B 四技,"8,630","5,499","3,131","1,494",774,"1,279",730,"1,274",762,"1,255",804,-,-,-,-,-,-,197,61,12 高雄市,2 技職
1037,正修科技大學,D 日,C 二技,101,68,33,-,-,-,-,25,3,-,-,43,30,-,-,-,-,-,-,12 高雄市,2 技職
1037,正修科技大學,D 日,5 五專,274,211,63,50,20,64,17,53,10,44,16,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1037,正修科技大學,N 職,M 碩士,202,140,62,89,37,38,21,10,4,3,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1037,正修科技大學,N 修,B 四技,"4,799","3,212","1,587",695,341,714,357,801,376,720,414,-,-,-,-,-,-,282,99,12 高雄市,2 技職
1037,正修科技大學,N 修,C 二技,"2,273","1,124","1,149",-,-,-,-,609,639,500,503,-,-,-,-,-,-,15,7,12 高雄市,2 技職
1037,正修科技大學,N 修,2 二專,948,573,375,264,179,287,188,-,-,-,-,-,-,-,-,-,-,22,8,12 高雄市,2 技職
1038,萬能科技大學,D 日,M 碩士,134,68,66,30,24,22,22,12,16,4,4,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1038,萬能科技大學,D 日,B 四技,"5,793","3,179","2,614",716,588,704,605,757,665,787,630,-,-,-,-,-,-,215,126,03 桃園市,2 技職
1038,萬能科技大學,N 職,M 碩士,146,67,79,37,60,29,18,-,-,1,-,-,-,-,1,-,-,-,-,03 桃園市,2 技職
1038,萬能科技大學,N 修,B 四技,"2,474","1,436","1,038",416,258,294,244,316,228,337,267,-,-,-,-,-,-,73,41,03 桃園市,2 技職
1038,萬能科技大學,N 修,C 二技,434,219,215,-,-,-,-,110,114,94,93,-,-,-,-,-,-,15,8,03 桃園市,2 技職
1038,萬能科技大學,N 修,2 二專,32,1,31,-,-,1,26,-,-,-,-,-,-,-,-,-,-,-,5,03 桃園市,2 技職
1039,玄奘大學,D 日,D 博士,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,18 新竹市,1 一般
1039,玄奘大學,D 日,M 碩士,246,89,157,28,45,23,44,14,37,19,30,4,1,1,-,-,-,-,-,18 新竹市,1 一般
1039,玄奘大學,D 日,B 學士,"1,630",681,949,119,202,170,232,164,214,166,250,-,-,-,-,-,-,62,51,18 新竹市,1 一般
1039,玄奘大學,N 職,M 碩士,142,45,97,13,28,13,28,8,16,7,14,3,10,1,1,-,-,-,-,18 新竹市,1 一般
1039,玄奘大學,P 進,B 學士,30,13,17,-,-,-,-,-,-,9,11,-,-,-,-,-,-,4,6,18 新竹市,1 一般
1040,建國科技大學,D 日,M 碩士,134,85,49,29,24,30,12,15,7,11,6,-,-,-,-,-,-,-,-,07 彰化縣,2 技職
1040,建國科技大學,D 日,B 四技,"3,535","2,421","1,114",353,169,389,172,682,337,859,380,-,-,-,-,-,-,138,56,07 彰化縣,2 技職
1040,建國科技大學,N 修,B 四技,"1,827","1,356",471,294,149,268,109,386,89,335,117,-,-,-,-,-,-,73,7,07 彰化縣,2 技職
1040,建國科技大學,N 修,C 二技,306,191,115,-,-,-,-,97,48,89,65,-,-,-,-,-,-,5,2,07 彰化縣,2 技職
1040,建國科技大學,N 修,2 二專,69,41,28,9,11,25,16,-,-,-,-,-,-,-,-,-,-,7,1,07 彰化縣,2 技職
1041,明志科技大學,D 日,D 博士,37,29,8,14,6,5,-,2,1,6,1,1,-,1,-,-,-,-,-,01 新北市,2 技職
1041,明志科技大學,D 日,M 碩士,473,348,125,164,54,127,57,41,9,16,5,-,-,-,-,-,-,-,-,01 新北市,2 技職
1041,明志科技大學,D 日,B 四技,"3,625","2,626",999,633,273,627,239,614,247,620,227,-,-,-,-,-,-,132,13,01 新北市,2 技職
1041,明志科技大學,N 職,M 碩士,20,17,3,10,2,3,-,2,-,2,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1041,明志科技大學,N 修,B 四技,283,268,15,25,3,23,1,86,5,98,5,-,-,-,-,-,-,36,1,01 新北市,2 技職
1042,高苑科技大學,D 日,M 碩士,83,45,38,16,18,23,14,1,6,5,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1042,高苑科技大學,D 日,B 四技,"1,640","1,043",597,214,160,154,109,243,155,393,162,-,-,-,-,-,-,39,11,12 高雄市,2 技職
1042,高苑科技大學,N 職,M 碩士,178,117,61,63,46,47,12,3,2,2,-,2,1,-,-,-,-,-,-,12 高雄市,2 技職
1042,高苑科技大學,N 修,B 四技,786,623,163,129,65,123,26,136,22,147,38,-,-,-,-,-,-,88,12,12 高雄市,2 技職
1042,高苑科技大學,N 修,C 二技,286,176,110,-,-,-,-,78,65,73,42,-,-,-,-,-,-,25,3,12 高雄市,2 技職
1042,高苑科技大學,N 修,2 二專,167,91,76,35,47,16,26,-,-,-,-,-,-,-,-,-,-,40,3,12 高雄市,2 技職
1043,大仁科技大學,D 日,M 碩士,78,35,43,15,29,13,8,7,6,-,-,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1043,大仁科技大學,D 日,B 四技,"3,110","1,483","1,627",303,330,283,315,359,398,335,382,85,111,-,-,-,-,118,91,13 屏東縣,2 技職
1043,大仁科技大學,N 職,M 碩士,167,87,80,33,28,46,43,6,7,2,2,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1043,大仁科技大學,N 修,B 四技,167,104,63,18,16,11,13,23,14,39,14,-,-,-,-,-,-,13,6,13 屏東縣,2 技職
1043,大仁科技大學,N 修,C 二技,"1,320",462,858,-,-,-,-,252,459,196,377,-,-,-,-,-,-,14,22,13 屏東縣,2 技職
1043,大仁科技大學,N 修,2 二專,92,47,45,21,23,18,20,-,-,-,-,-,-,-,-,-,-,8,2,13 屏東縣,2 技職
1044,聖約翰科技大學,D 日,M 碩士,88,62,26,18,11,16,8,16,4,12,3,-,-,-,-,-,-,-,-,01 新北市,2 技職
1044,聖約翰科技大學,D 日,B 四技,"1,018",641,377,65,24,66,57,159,100,246,150,-,-,-,-,-,-,105,46,01 新北市,2 技職
1044,聖約翰科技大學,D 日,C 二技,2,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1044,聖約翰科技大學,D 日,5 五專,158,125,33,-,-,10,4,33,7,40,10,32,9,-,-,-,-,10,3,01 新北市,2 技職
1044,聖約翰科技大學,N 職,M 碩士,105,78,27,24,10,20,11,21,6,13,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1044,聖約翰科技大學,N 修,B 四技,305,248,57,48,8,24,1,103,17,71,30,-,-,-,-,-,-,2,1,01 新北市,2 技職
1044,聖約翰科技大學,N 修,C 二技,83,58,25,-,-,-,-,26,6,32,19,-,-,-,-,-,-,-,-,01 新北市,2 技職
1044,聖約翰科技大學,N 修,2 二專,79,53,26,27,10,26,12,-,-,-,-,-,-,-,-,-,-,-,4,01 新北市,2 技職
1045,嶺東科技大學,D 日,M 碩士,239,118,121,53,61,48,38,9,13,8,9,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1045,嶺東科技大學,D 日,B 四技,"7,205","2,689","4,516",623,"1,069",632,"1,108",639,"1,177",673,"1,068",-,-,-,-,-,-,122,94,19 臺中市,2 技職
1045,嶺東科技大學,D 日,C 二技,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1045,嶺東科技大學,N 職,M 碩士,157,98,59,64,34,27,20,5,3,2,2,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1045,嶺東科技大學,N 修,B 四技,"2,651","1,476","1,175",391,300,344,261,322,288,293,253,-,-,-,-,-,-,126,73,19 臺中市,2 技職
1046,中國科技大學,D 日,M 碩士,183,102,81,49,37,27,27,16,13,10,4,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1046,中國科技大學,D 日,B 四技,"6,058","2,800","3,258",671,760,589,691,725,836,638,828,-,-,-,-,-,-,177,143,30 臺北市,2 技職
1046,中國科技大學,D 日,C 二技,7,2,5,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1046,中國科技大學,N 職,M 碩士,82,56,26,21,19,30,7,4,-,1,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1046,中國科技大學,N 修,B 四技,"1,115",655,460,177,113,126,104,160,101,120,99,-,-,-,-,-,-,72,43,30 臺北市,2 技職
1046,中國科技大學,N 修,C 二技,776,413,363,-,-,-,-,184,190,217,170,-,-,-,-,-,-,12,3,30 臺北市,2 技職
1046,中國科技大學,N 修,X 4+X,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1046,中國科技大學,N 修,2 二專,390,196,194,103,81,66,96,-,-,-,-,-,-,-,-,-,-,27,17,30 臺北市,2 技職
1047,中臺科技大學,D 日,D 博士,9,6,3,2,1,1,-,1,1,-,1,-,-,-,-,2,-,-,-,19 臺中市,2 技職
1047,中臺科技大學,D 日,M 碩士,118,35,83,15,33,14,29,4,8,1,6,1,7,-,-,-,-,-,-,19 臺中市,2 技職
1047,中臺科技大學,D 日,B 四技,"4,344","1,838","2,506",386,506,413,511,442,666,452,682,-,-,-,-,-,-,145,141,19 臺中市,2 技職
1047,中臺科技大學,D 日,C 二技,575,92,483,-,-,-,-,48,251,43,228,-,-,-,-,-,-,1,4,19 臺中市,2 技職
1047,中臺科技大學,D 日,2 二專,16,6,10,6,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1047,中臺科技大學,N 職,M 碩士,266,57,209,23,86,14,58,9,37,9,23,2,5,-,-,-,-,-,-,19 臺中市,2 技職
1047,中臺科技大學,N 修,B 四技,"1,502",528,974,130,246,135,225,123,217,100,198,14,54,-,-,-,-,26,34,19 臺中市,2 技職
1047,中臺科技大學,N 修,C 二技,774,103,671,-,-,-,-,41,388,46,242,14,34,-,-,-,-,2,7,19 臺中市,2 技職
1048,亞洲大學,D 日,D 博士,235,146,89,26,20,27,15,30,17,25,15,15,8,16,8,7,6,-,-,06 臺中市,1 一般
1048,亞洲大學,D 日,M 碩士,603,242,361,87,161,81,90,51,59,23,51,-,-,-,-,-,-,-,-,06 臺中市,1 一般
1048,亞洲大學,D 日,B 學士,"9,443","3,320","6,123",798,"1,554",794,"1,500",779,"1,444",775,"1,475",-,-,-,-,-,-,174,150,06 臺中市,1 一般
1048,亞洲大學,N 職,M 碩士,426,197,229,129,145,52,51,13,22,3,11,-,-,-,-,-,-,-,-,06 臺中市,1 一般
1048,亞洲大學,P 進,B 學士,724,330,394,88,110,66,84,53,69,79,102,-,-,-,-,-,-,44,29,06 臺中市,1 一般
1049,開南大學,D 日,M 碩士,216,79,137,37,71,23,28,7,25,10,12,1,-,1,1,-,-,-,-,03 桃園市,1 一般
1049,開南大學,D 日,B 學士,"3,648","1,733","1,915",345,415,429,442,404,455,411,463,-,-,-,-,-,-,144,140,03 桃園市,1 一般
1049,開南大學,N 職,M 碩士,317,177,140,89,91,46,30,16,7,10,7,12,4,4,1,-,-,-,-,03 桃園市,1 一般
1049,開南大學,P 進,B 學士,927,534,393,118,83,122,107,146,91,123,102,-,-,-,-,-,-,25,10,03 桃園市,1 一般
1050,佛光大學,D 日,D 博士,63,21,42,-,9,4,7,4,6,4,9,3,3,1,6,5,2,-,-,02 宜蘭縣,1 一般
1050,佛光大學,D 日,M 碩士,429,172,257,70,104,33,56,32,54,35,42,1,-,-,1,1,-,-,-,02 宜蘭縣,1 一般
1050,佛光大學,D 日,B 學士,"2,637","1,229","1,408",302,347,307,335,283,345,260,342,-,-,-,-,-,-,77,39,02 宜蘭縣,1 一般
1050,佛光大學,N 職,M 碩士,113,57,56,27,34,12,8,-,3,8,7,10,4,-,-,-,-,-,-,02 宜蘭縣,1 一般
1051,台南應用科技大學,D 日,M 碩士,101,29,72,11,30,11,23,6,10,1,9,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1051,台南應用科技大學,D 日,B 四技,"7,673","2,314","5,359",563,"1,309",526,"1,298",597,"1,362",533,"1,305",-,-,-,-,-,-,95,85,11 臺南市,2 技職
1051,台南應用科技大學,D 日,C 二技,480,85,395,-,-,-,-,39,190,40,178,-,-,-,-,-,-,6,27,11 臺南市,2 技職
1051,台南應用科技大學,D 日,5 五專,950,231,719,38,129,45,133,55,145,52,163,41,149,-,-,-,-,-,-,11 臺南市,2 技職
1051,台南應用科技大學,N 職,M 碩士,100,24,76,9,26,12,23,2,11,-,7,1,9,-,-,-,-,-,-,11 臺南市,2 技職
1051,台南應用科技大學,N 修,B 四技,"2,213",847,"1,366",171,260,188,320,218,380,215,348,-,-,-,-,-,-,55,58,11 臺南市,2 技職
1051,台南應用科技大學,N 修,C 二技,199,22,177,-,-,-,-,5,77,16,92,-,-,-,-,-,-,1,8,11 臺南市,2 技職
1052,遠東科技大學,D 日,M 碩士,276,147,129,58,57,63,68,20,2,6,2,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1052,遠東科技大學,D 日,B 四技,"2,438","1,716",722,225,93,332,128,420,186,541,267,-,-,-,-,-,-,198,48,11 臺南市,2 技職
1052,遠東科技大學,N 職,M 碩士,39,37,2,8,1,13,1,8,-,5,-,2,-,1,-,-,-,-,-,11 臺南市,2 技職
1052,遠東科技大學,N 修,B 四技,486,378,108,72,17,60,23,120,25,106,38,-,-,-,-,-,-,20,5,11 臺南市,2 技職
1052,遠東科技大學,N 修,C 二技,321,191,130,-,-,-,-,98,77,85,50,-,-,-,-,-,-,8,3,11 臺南市,2 技職
1052,遠東科技大學,N 修,2 二專,197,125,72,55,37,66,33,-,-,-,-,-,-,-,-,-,-,4,2,11 臺南市,2 技職
1053,元培醫事科技大學,D 日,D 博士,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,M 碩士,265,120,145,49,61,42,48,19,21,10,15,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,B 四技,"3,501","1,474","2,027",321,499,307,445,362,496,356,499,-,-,-,-,-,-,128,88,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,C 二技,103,8,95,-,-,-,-,5,46,3,48,-,-,-,-,-,-,-,1,18 新竹市,2 技職
1053,元培醫事科技大學,N 職,M 碩士,41,9,32,7,14,1,7,1,9,-,2,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,B 四技,"1,390",709,681,101,122,183,180,219,178,181,172,-,-,-,-,-,-,25,29,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,C 二技,449,81,368,-,-,-,-,29,140,41,184,-,-,-,-,-,-,11,44,18 新竹市,2 技職
1054,景文科技大學,D 日,M 碩士,18,13,5,-,-,9,4,2,1,2,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,D 日,B 四技,"4,646","2,066","2,580",404,513,451,557,535,758,516,647,-,-,-,-,-,-,160,105,01 新北市,2 技職
1054,景文科技大學,D 日,C 二技,21,12,9,-,-,-,-,10,7,2,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,47,32,15,22,12,6,3,1,-,3,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,755,397,358,94,78,57,47,107,97,112,111,-,-,-,-,-,-,27,25,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,294,141,153,-,-,-,-,86,71,49,79,-,-,-,-,-,-,6,3,01 新北市,2 技職
1054,景文科技大學,N 修,2 二專,122,71,51,31,24,37,25,-,-,-,-,-,-,-,-,-,-,3,2,01 新北市,2 技職
1055,中華醫事科技大學,D 日,M 碩士,91,42,49,18,24,20,18,3,5,1,2,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,"3,036","1,107","1,929",194,392,236,407,228,524,387,555,-,-,-,-,-,-,62,51,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,853,196,657,-,-,-,-,84,341,109,309,-,-,-,-,-,-,3,7,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,2 二專,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,"3,147",702,"2,445",143,493,163,546,135,481,127,439,112,454,-,-,-,-,22,32,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,23,12,11,3,3,9,8,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,554,241,313,70,89,44,58,61,74,47,72,-,-,-,-,-,-,19,20,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,725,196,529,-,-,-,-,103,287,85,231,-,-,-,-,-,-,8,11,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,2 二專,81,42,39,21,20,21,19,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,127,80,47,31,22,36,20,9,4,4,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,"4,050","2,616","1,434",534,336,548,313,689,365,720,359,-,-,-,-,-,-,125,61,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,48,42,6,26,1,15,4,-,1,1,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,625,461,164,107,52,78,34,133,33,115,39,-,-,-,-,-,-,28,6,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,42,23,19,10,8,2,5,2,-,9,6,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,"6,585","2,806","3,779",569,786,613,772,663,972,662,978,-,-,-,-,-,-,299,271,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,106,34,72,-,-,-,-,22,30,10,42,-,-,-,-,-,-,2,-,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,26,15,11,3,4,6,5,2,1,1,1,1,-,2,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,414,224,190,40,39,46,35,52,51,50,44,-,-,-,-,-,-,36,21,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,119,46,73,-,-,-,-,17,35,28,37,-,-,-,-,-,-,1,1,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,32,19,13,4,1,1,4,6,1,3,3,1,2,2,2,2,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,148,80,68,21,29,31,19,17,13,10,6,1,1,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,"1,324",750,574,66,75,113,116,223,172,292,182,-,-,-,-,-,-,56,29,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,53,24,29,13,19,7,7,2,3,2,-,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,456,307,149,63,28,72,20,71,37,91,58,-,-,-,-,-,-,10,6,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,77,41,36,17,15,15,16,6,3,3,2,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,"1,790","1,213",577,171,84,261,95,295,159,405,209,-,-,-,-,-,-,81,30,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,415,353,62,50,6,67,8,63,15,76,18,89,14,-,-,-,-,8,1,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,67,23,44,9,21,10,17,2,3,2,3,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,632,443,189,107,33,87,40,114,51,102,55,-,-,-,-,-,-,33,10,08 南投縣,2 技職
1060,南開科技大學,N 修,C 二技,190,86,104,-,-,-,-,51,52,34,52,-,-,-,-,-,-,1,-,08 南投縣,2 技職
